AccountID,Type,BillingState,BillingCountry,AccountSource,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c
0012o00002sPKI0,Standard,Colorado,United States,HG Insights,Business,0.0,10.000+,Retail,false,NA - Enterprise,NA - South - Enterprise,0.0,0.0,50.0,100.0,0.0,false,false
0012o00002i7Qcw,Standard,Municipiul Bucure\u0219ti,Romania,,Business,0.0,1001-5000,"Telecommunications, Media & Entertainment",false,EMEA W,RoW - E Europe,0.0,8.0,100.0,50.0,3.0,false,false
0012o00002sPOul,Standard,Sachsen,Germany,HG Insights,Business,0.0,1001-5000,Utilities,false,DACH,DACH - Utilities,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002h4I17,Standard,brandenburg,germany,Marketing,Business,0.0,Less than 20,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,2.0,50.0,0.0,0.0,false,false
0012o00002sPG1L,Standard,Colorado,United States,HG Insights,Business,0.0,10.000+,Manufacturing,false,NA - Enterprise,NA - South - Enterprise,0.0,0.0,50.0,100.0,0.0,false,false
0012o00002sPOuz,Standard,Niedersachsen,Germany,HG Insights,Business,0.0,1001-5000,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,1.0,50.0,50.0,0.0,false,false
0012o00002sPG0S,Standard,Iowa,United States,HG Insights,Business,0.0,1001-5000,Utilities,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,4.0,100.0,50.0,0.0,false,false
0012o00002sPG0R,Standard,Georgia,United States,HG Insights,Business,0.0,1001-5000,Consulting & Business Services,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,1.0,50.0,50.0,0.0,false,false
0012o00002sPKHb,Standard,Ohio,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPKHZ,Standard,Massachusetts,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPOu5,Standard,Hamburg,Germany,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002h482F,Standard,bayern,germany,Marketing,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,6.0,0.0,0.0,0.0,false,false
0012o00002sPOu7,Standard,Z\u00dcRICH,Switzerland,HG Insights,Business,0.0,5001-10.000,Insurance,false,DACH,DACH - Insurance 5K+,0.0,0.0,100.0,0.0,0.0,false,false
0012o00002h4896,Standard,queensland,australia,Marketing,Business,0.0,Less than 20,,false,APAC,RoW - APAC (Prio),0.0,7.0,0.0,0.0,0.0,false,false
0012o00002h4Cnx,Standard,West Yorkshire,united kingdom,Marketing,Business,0.0,5001-10.000,Consulting & Business Services,false,EMEA N,UKI - Software & Technology,0.0,2.0,50.0,0.0,0.0,false,false
0012o00002sPKI4,Standard,Washington,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - West Corporate,0.0,0.0,0.0,50.0,0.0,false,false
0012o00002sPKIB,Standard,Pennsylvania,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,0.0,50.0,0.0,false,false
0012o00002sPG1B,Standard,New York,United States,HG Insights,Business,0.0,1001-5000,Banking & Financial Services,false,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPG11,Standard,Kansas,United States,HG Insights,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",false,NA - Enterprise,NA - Central Enterprise,0.0,0.0,100.0,100.0,0.0,false,false
0012o00002sPG12,Standard,California,United States,HG Insights,Business,0.0,10.000+,"Public Sector, Government, Education",false,NA - Enterprise,NA - West Enterprise,0.0,0.0,0.0,100.0,0.0,false,false
0012o00002h4DoO,Standard,hessen,germany,Marketing,Business,0.0,Less than 20,Software & Technology,false,DACH,DACH - Whitepatch <5K,0.0,7.0,100.0,0.0,0.0,false,false
0012o00002sPSuI,Standard,HAUTS DE SEINE,France,HG Insights,Business,0.0,1001-5000,Utilities,false,EMEA W,France - Utilities,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPG13,Standard,Michigan,United States,HG Insights,Business,0.0,10.000+,Automotive,false,NA - Enterprise,NA - Midwest - Enterprise,0.0,5.0,50.0,100.0,0.0,false,false
0012o00002sPG17,Standard,Ohio,United States,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPKID,Standard,Louisiana,United States,HG Insights,Business,0.0,1001-5000,"Telecommunications, Media & Entertainment",false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002h4Cn9,Standard,nordrhein-westfalen,germany,Marketing,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,6.0,0.0,0.0,0.0,false,false
0012o00002sPKHz,Standard,Nebraska,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,25.0,50.0,0.0,false,false
