AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002mrFJn,Standard,,Brazil,Business,0.0,1001-5000,"Public Sector, Government, Education",False,NA - Corporate & LATAM,RoW - LATAM,0.0,0.0,0.0,50.0,3.0,False,False,,False
0012o00002i7O3c,Standard,Hessen,Germany,Business,0.0,1001-5000,Logistics & Transportation,False,DACH,DACH - Logistics,0.0,4.0,75.0,50.0,8.0,False,False,Marketing,False
0012o00002mrFxn,Standard,,Australia,Business,0.0,1001-5000,Manufacturing,False,APAC,RoW - APAC (Prio),0.0,0.0,50.0,50.0,3.0,False,False,,False
0012o00002mrFOJ,Standard,,Brazil,Business,0.0,101-1000,"Public Sector, Government, Education",False,NA - Corporate & LATAM,RoW - LATAM,0.0,0.0,0.0,0.0,3.0,False,False,,False
0012o00002mrL5Y,Standard,,United Kingdom,Business,0.0,101-1000,,False,EMEA N,UKI - Software & Technology,0.0,0.0,0.0,0.0,3.0,False,False,,False
0012o00002sPI7V,Standard,Massachusetts,United States,Business,0.0,1001-5000,Consulting & Business Services,False,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,174.0,50.0,50.0,9.0,False,False,HG Insights,False
0012o00002mrWen,Standard,attiki,Greece,Business,0.0,1001-5000,"Public Sector, Government, Education",True,EMEA W,Mediterranean,0.0,11.0,0.0,50.0,3.0,False,False,Marketing,False
0012o00002mrXD1,Standard,guatemala,guatemala,Business,0.0,21-100,Banking & Financial Services,False,NA - Corporate & LATAM,RoW - LATAM,0.0,513.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mrMlR,Standard,istanbul,turkey,Business,0.0,Less than 20,Banking & Financial Services,False,EMEA W,Middle East,0.0,1.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mrG0R,Standard,roma,Italy,Business,0.0,1001-5000,Banking & Financial Services,True,EMEA W,Mediterranean,0.0,61.0,100.0,50.0,3.0,False,False,Marketing,False
0012o00002mrLLB,Standard,madrid,spain,Business,0.0,101-1000,Other,False,EMEA W,Mediterranean,0.0,9.0,0.0,0.0,3.0,False,False,Marketing,False
